class_of_erotismo,class_of_tensione,class_of_impegno,class_of_ritmo,class_of_humor,class_of_time,class_of_year,class_of_voto,genere,paese,cluster
null,null,null,low_rating,good_rating,durataMedia,piu nuovo,good_rating,commedia,usa,0
null,top_rating,low_rating,good_rating,low_rating,durataMedia,vecchio,good_rating,western,usa,1
low_rating,good_rating,good_rating,good_rating,null,durataMedia,vecchio,low_rating,drammatico,italia,8
null,nice_rating,low_rating,nice_rating,null,durataMedia,vecchio,nice_rating,poliziesco,usa,2
null,good_rating,low_rating,good_rating,low_rating,durataMedia,vecchio,good_rating,storico,usa,5
null,null,null,low_rating,good_rating,durataMedia,nuovo,good_rating,commedia,italia,0
low_rating,nice_rating,good_rating,nice_rating,low_rating,durataMedia,vecchio,good_rating,western,usa,1
null,nice_rating,nice_rating,good_rating,low_rating,durataMedia,nuovo,good_rating,drammatico,francia,7
null,good_rating,null,good_rating,null,durataMedia,piu nuovo,nice_rating,thriller,canada,5
null,nice_rating,null,null,null,durataMedia,nuovo,good_rating,thriller,usa,2
low_rating,good_rating,null,low_rating,null,durataMedia,piu nuovo,low_rating,thriller,usa,4
null,good_rating,null,good_rating,null,durataMedia,piu nuovo,good_rating,drammatico,usa,2
null,good_rating,low_rating,good_rating,null,durataMedia,vecchio,good_rating,poliziesco,germania,2
null,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,poliziesco,italia,2
null,nice_rating,null,good_rating,null,durataMedia,vecchio,nice_rating,western,usa,2
low_rating,good_rating,null,good_rating,null,durataMedia,vecchio,good_rating,noir,usa,4
null,low_rating,null,good_rating,null,durataMedia,piu nuovo,good_rating,drammatico,usa,2
null,good_rating,null,good_rating,low_rating,durataMedia,vecchio,good_rating,western,usa,0
null,nice_rating,null,nice_rating,null,durataMedia,vecchio,nice_rating,poliziesco,usa,2
null,good_rating,low_rating,good_rating,null,DurataLunga,vecchio,good_rating,drammatico,usa,2
low_rating,nice_rating,good_rating,top_rating,low_rating,durataMedia,piu nuovo,good_rating,noir,usa,1
null,good_rating,nice_rating,nice_rating,good_rating,durataMedia,piu nuovo,nice_rating,drammatico,gran_bretagna,3
null,null,low_rating,good_rating,null,durataMedia,piu nuovo,good_rating,drammatico,italia,5
low_rating,low_rating,good_rating,good_rating,low_rating,durataMedia,piu nuovo,good_rating,drammatico,italia,8
null,nice_rating,nice_rating,good_rating,null,durataMedia,piu nuovo,nice_rating,drammatico,italia,7
null,good_rating,null,good_rating,low_rating,durataMedia,piu nuovo,low_rating,drammatico,usa,1
null,good_rating,nice_rating,good_rating,null,durataMedia,piu nuovo,good_rating,drammatico,italia,7
null,low_rating,null,good_rating,null,durataMedia,vecchio,good_rating,drammatico,italia,2
null,good_rating,null,good_rating,null,durataMedia,piu nuovo,good_rating,horror,usa,2
null,low_rating,low_rating,good_rating,low_rating,durataMedia,piu nuovo,good_rating,drammatico,italia,5
low_rating,low_rating,low_rating,good_rating,low_rating,durataMedia,piu nuovo,good_rating,fantasy,usa,4
null,nice_rating,null,good_rating,nice_rating,durataMedia,piu nuovo,good_rating,horror,usa,1
null,null,low_rating,good_rating,null,durataMedia,piu nuovo,good_rating,drammatico,italia,5
null,nice_rating,good_rating,nice_rating,null,durataMedia,piu nuovo,good_rating,drammatico,italia,7
null,low_rating,low_rating,good_rating,low_rating,DurataLunga,piu nuovo,good_rating,fantasy,usa,5
null,low_rating,null,good_rating,null,durataMedia,nuovo,good_rating,drammatico,canada,2
low_rating,nice_rating,good_rating,good_rating,null,durataMedia,nuovo,nice_rating,drammatico,francia,7
low_rating,good_rating,nice_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,francia,8
null,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,drammatico,francia,2
good_rating,nice_rating,nice_rating,nice_rating,good_rating,durataMedia,piu vecchio,good_rating,drammatico,usa,6
null,good_rating,null,good_rating,null,DurataLunga,nuovo,good_rating,drammatico,usa,2
null,nice_rating,nice_rating,nice_rating,good_rating,durataMedia,piu nuovo,nice_rating,commedia,usa,7
null,good_rating,top_rating,good_rating,null,DurataLunga,piu nuovo,nice_rating,drammatico,italia,8
low_rating,null,null,good_rating,nice_rating,durataMedia,piu nuovo,low_rating,commedia,italia,0
null,null,low_rating,good_rating,nice_rating,durataMedia,piu nuovo,good_rating,documentario,usa,0
low_rating,good_rating,super_rating,good_rating,low_rating,DurataLunga,piu nuovo,nice_rating,drammatico,italia,8
null,null,null,low_rating,good_rating,durataMedia,piu nuovo,nice_rating,commedia,francia,0
null,null,null,low_rating,low_rating,durataMedia,nuovo,good_rating,sentimentale,usa,0
null,nice_rating,null,good_rating,null,durataMedia,nuovo,good_rating,horror,usa,2
null,good_rating,null,good_rating,null,durataMedia,vecchio,good_rating,western,usa,5
low_rating,nice_rating,good_rating,good_rating,null,durataMedia,nuovo,nice_rating,fantasy,usa,7
low_rating,nice_rating,nice_rating,top_rating,good_rating,durataMedia,vecchio,nice_rating,drammatico,italia,3
null,good_rating,null,good_rating,null,durataMedia,nuovo,low_rating,thriller,italia,5
good_rating,good_rating,low_rating,nice_rating,null,durataMedia,piu vecchio,nice_rating,drammatico,usa,4
null,good_rating,good_rating,good_rating,null,durataMedia,piu vecchio,nice_rating,drammatico,usa,8
null,low_rating,null,good_rating,null,durataMedia,vecchio,good_rating,commedia,italia,2
null,low_rating,null,low_rating,null,durataMedia,nuovo,good_rating,azione,usa,2
null,low_rating,null,low_rating,null,durataMedia,nuovo,nice_rating,drammatico,usa,5
null,good_rating,null,low_rating,null,durataMedia,nuovo,good_rating,drammatico,usa,2
null,good_rating,low_rating,good_rating,low_rating,durataMedia,vecchio,good_rating,drammatico,usa,1
good_rating,nice_rating,good_rating,nice_rating,low_rating,durataMedia,nuovo,good_rating,drammatico,usa,6
null,good_rating,null,low_rating,null,durataMedia,vecchio,good_rating,drammatico,usa,2
null,good_rating,null,good_rating,null,durataMedia,vecchio,nice_rating,avventura,gran_bretagna,2
null,low_rating,low_rating,low_rating,null,durataMedia,vecchio,good_rating,melo,italia,5
good_rating,low_rating,null,good_rating,null,durataMedia,nuovo,good_rating,thriller,italia,4
low_rating,low_rating,low_rating,nice_rating,nice_rating,durataMedia,piu nuovo,good_rating,commedia,usa,3
low_rating,low_rating,null,good_rating,null,durataMedia,piu nuovo,good_rating,drammatico,usa,4
low_rating,low_rating,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,usa,0
null,good_rating,good_rating,top_rating,low_rating,durataMedia,piu nuovo,good_rating,drammatico,germania,1
low_rating,null,null,good_rating,low_rating,durataMedia,piu nuovo,good_rating,commedia,italia,4
low_rating,low_rating,null,low_rating,low_rating,durataMedia,piu nuovo,nice_rating,horror,usa,4
null,good_rating,low_rating,good_rating,low_rating,durataMedia,piu nuovo,good_rating,avventura,usa,2
null,good_rating,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,1
null,good_rating,null,good_rating,null,durataMedia,piu nuovo,good_rating,thriller,germania,5
low_rating,null,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,italia,0
null,low_rating,null,good_rating,null,durataMedia,vecchio,good_rating,guerra,usa,5
null,good_rating,low_rating,good_rating,null,durataMedia,nuovo,good_rating,poliziesco,usa,5
low_rating,null,null,low_rating,low_rating,durataMedia,nuovo,good_rating,commedia,usa,4
low_rating,good_rating,nice_rating,good_rating,null,DurataLunga,nuovo,nice_rating,drammatico,usa,8
low_rating,null,null,nice_rating,nice_rating,durataMedia,nuovo,good_rating,commedia,usa,0
null,good_rating,null,good_rating,null,durataMedia,vecchio,good_rating,drammatico,usa,2
good_rating,null,null,nice_rating,good_rating,durataMedia,piu vecchio,good_rating,commedia,usa,4
null,good_rating,null,good_rating,null,durataMedia,nuovo,nice_rating,azione,usa,2
null,null,low_rating,low_rating,null,durataMedia,piu nuovo,good_rating,drammatico,usa,5
null,good_rating,good_rating,top_rating,top_rating,durataMedia,piu nuovo,good_rating,fantasy,usa,3
low_rating,good_rating,null,good_rating,null,durataMedia,piu nuovo,good_rating,thriller,usa,4
null,low_rating,null,good_rating,null,durataMedia,nuovo,good_rating,horror,usa,5
null,null,low_rating,good_rating,good_rating,durataMedia,piu nuovo,good_rating,commedia,italia,0
low_rating,null,low_rating,nice_rating,top_rating,durataMedia,piu nuovo,good_rating,commedia,usa,3
null,good_rating,null,good_rating,null,durataMedia,vecchio,good_rating,drammatico,italia,2
null,low_rating,null,good_rating,null,durataMedia,nuovo,nice_rating,azione,usa,2
null,nice_rating,low_rating,good_rating,low_rating,cortometraggio,nuovo,good_rating,fantasy,giappone,7
null,good_rating,null,good_rating,null,durataMedia,piu nuovo,good_rating,thriller,usa,5
null,good_rating,null,good_rating,null,durataMedia,vecchio,good_rating,drammatico,usa,2
null,low_rating,null,low_rating,null,durataMedia,nuovo,low_rating,commedia,italia,2
null,top_rating,null,good_rating,null,durataMedia,piu nuovo,nice_rating,drammatico,olanda,2
low_rating,nice_rating,good_rating,nice_rating,null,DurataLunga,piu nuovo,good_rating,biografico,gran_bretagna,2
null,null,null,nice_rating,nice_rating,durataMedia,nuovo,good_rating,commedia,italia,0
low_rating,good_rating,top_rating,nice_rating,nice_rating,durataMedia,piu nuovo,good_rating,drammatico,italia,3
low_rating,null,good_rating,good_rating,null,DurataLunga,piu nuovo,good_rating,drammatico,usa,4
good_rating,nice_rating,top_rating,nice_rating,null,durataMedia,piu nuovo,nice_rating,drammatico,italia,7
null,low_rating,null,good_rating,null,durataMedia,nuovo,low_rating,drammatico,italia,5
null,good_rating,good_rating,nice_rating,low_rating,durataMedia,nuovo,nice_rating,horror,usa,1
null,null,null,good_rating,null,durataMedia,vecchio,low_rating,commedia,italia,5
low_rating,good_rating,null,good_rating,null,durataMedia,nuovo,nice_rating,thriller,usa,4
nice_rating,top_rating,good_rating,top_rating,good_rating,durataMedia,vecchio,good_rating,drammatico,usa,6
null,good_rating,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,1
null,good_rating,null,good_rating,null,durataMedia,piu vecchio,good_rating,musicale,usa,2
null,nice_rating,null,good_rating,null,durataMedia,nuovo,good_rating,spionaggio,gran_bretagna,2
null,good_rating,low_rating,good_rating,null,durataMedia,vecchio,good_rating,western,usa,5
null,low_rating,null,low_rating,null,durataMedia,nuovo,good_rating,commedia,australia,2
null,nice_rating,nice_rating,good_rating,null,durataMedia,vecchio,nice_rating,drammatico,usa,7
top_rating,nice_rating,nice_rating,good_rating,low_rating,DurataLunga,nuovo,nice_rating,drammatico,italia,6
low_rating,nice_rating,low_rating,good_rating,low_rating,durataMedia,nuovo,good_rating,spionaggio,usa,1
null,nice_rating,good_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,italia,7
low_rating,good_rating,null,nice_rating,nice_rating,durataMedia,vecchio,good_rating,commedia,italia,1
low_rating,nice_rating,low_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,usa,2
low_rating,good_rating,null,good_rating,null,durataMedia,piu nuovo,good_rating,thriller,canada,4
null,good_rating,good_rating,good_rating,null,durataMedia,piu nuovo,nice_rating,drammatico,usa,7
null,low_rating,low_rating,good_rating,low_rating,durataMedia,nuovo,nice_rating,drammatico,usa,5
null,nice_rating,nice_rating,nice_rating,null,DurataLunga,nuovo,nice_rating,drammatico,usa,7
null,good_rating,nice_rating,nice_rating,null,durataMedia,vecchio,nice_rating,drammatico,italia,7
null,good_rating,low_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,usa,2
low_rating,null,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,francia,0
good_rating,null,null,good_rating,null,durataMedia,nuovo,low_rating,commedia,italia,4
good_rating,low_rating,good_rating,nice_rating,low_rating,DurataLunga,piu nuovo,nice_rating,drammatico,usa,4
null,nice_rating,top_rating,top_rating,good_rating,DurataLunga,piu nuovo,good_rating,drammatico,italia,3
null,null,top_rating,low_rating,null,DurataLunga,piu nuovo,good_rating,drammatico,italia,8
null,low_rating,low_rating,good_rating,good_rating,DurataLunga,piu nuovo,good_rating,commedia,usa,0
low_rating,null,good_rating,good_rating,low_rating,durataMedia,piu nuovo,good_rating,commedia,italia,8
null,good_rating,low_rating,good_rating,null,durataMedia,piu nuovo,good_rating,fantasy,usa,2
null,good_rating,low_rating,nice_rating,nice_rating,durataMedia,piu nuovo,nice_rating,commedia,jugoslavia,3
low_rating,null,null,good_rating,low_rating,durataMedia,nuovo,good_rating,grottesco,italia,4
null,nice_rating,good_rating,nice_rating,null,durataMedia,nuovo,nice_rating,horror,usa,7
null,low_rating,low_rating,low_rating,null,durataMedia,nuovo,low_rating,drammatico,italia,5
low_rating,low_rating,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,0
null,good_rating,null,good_rating,low_rating,durataMedia,vecchio,good_rating,commedia,italia,2
null,low_rating,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,0
null,null,null,good_rating,low_rating,durataMedia,piu nuovo,low_rating,commedia,italia,5
null,good_rating,low_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,spagna,2
null,nice_rating,good_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,francia,7
null,good_rating,good_rating,good_rating,low_rating,DurataLunga,nuovo,nice_rating,commedia,italia,5
low_rating,low_rating,low_rating,good_rating,nice_rating,durataMedia,vecchio,good_rating,commedia,francia,3
null,nice_rating,null,nice_rating,null,durataMedia,vecchio,good_rating,horror,gran_bretagna,2
null,low_rating,null,good_rating,null,durataMedia,vecchio,good_rating,poliziesco,italia,5
null,low_rating,null,good_rating,null,durataMedia,nuovo,good_rating,azione,italia,2
null,nice_rating,null,good_rating,null,durataMedia,vecchio,good_rating,horror,spagna,2
null,good_rating,null,good_rating,null,durataMedia,vecchio,good_rating,spionaggio,spagna,5
null,good_rating,null,good_rating,null,cortometraggio,nuovo,good_rating,drammatico,spagna,2
null,nice_rating,null,good_rating,null,durataMedia,nuovo,good_rating,thriller,spagna,2
null,good_rating,good_rating,nice_rating,good_rating,durataMedia,nuovo,nice_rating,drammatico,burkina_faso,3
low_rating,nice_rating,low_rating,good_rating,null,durataMedia,piu nuovo,good_rating,thriller,usa,4
null,nice_rating,null,good_rating,null,durataMedia,nuovo,good_rating,horror,usa,2
null,low_rating,low_rating,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,0
null,nice_rating,null,good_rating,null,durataMedia,nuovo,good_rating,horror,usa,2
null,good_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,azione,gran_bretagna,2
null,top_rating,nice_rating,nice_rating,low_rating,DurataLunga,piu nuovo,good_rating,drammatico,usa,7
null,low_rating,nice_rating,good_rating,null,durataMedia,piu nuovo,good_rating,drammatico,italia,8
null,low_rating,null,good_rating,good_rating,durataMedia,piu nuovo,good_rating,commedia,italia,0
null,good_rating,null,good_rating,null,durataMedia,vecchio,good_rating,drammatico,gran_bretagna,2
null,null,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,italia,0
null,nice_rating,good_rating,good_rating,null,durataMedia,vecchio,nice_rating,drammatico,polonia,7
null,good_rating,good_rating,good_rating,null,cortometraggio,vecchio,nice_rating,drammatico,polonia,7
null,low_rating,null,good_rating,null,durataMedia,piu nuovo,good_rating,drammatico,usa,2
null,nice_rating,nice_rating,good_rating,null,durataMedia,nuovo,nice_rating,drammatico,italia,7
low_rating,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,drammatico,usa,2
null,nice_rating,nice_rating,good_rating,null,durataMedia,piu nuovo,good_rating,drammatico,usa,7
null,good_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,horror,usa,1
null,good_rating,low_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,italia,2
null,good_rating,null,good_rating,null,durataMedia,vecchio,good_rating,spionaggio,gran_bretagna,5
nice_rating,nice_rating,good_rating,top_rating,top_rating,durataMedia,piu nuovo,good_rating,commedia,italia,6
null,good_rating,nice_rating,nice_rating,good_rating,durataMedia,piu nuovo,good_rating,fantasy,usa,3
null,nice_rating,null,good_rating,null,DurataLunga,piu nuovo,nice_rating,thriller,usa,2
null,nice_rating,null,nice_rating,nice_rating,durataMedia,piu nuovo,good_rating,azione,usa,1
good_rating,low_rating,null,good_rating,low_rating,DurataLunga,piu nuovo,good_rating,drammatico,italia,4
low_rating,null,null,good_rating,low_rating,durataMedia,piu nuovo,low_rating,commedia,italia,4
good_rating,low_rating,good_rating,good_rating,low_rating,durataMedia,piu nuovo,good_rating,drammatico,usa,4
low_rating,good_rating,null,good_rating,low_rating,DurataLunga,piu nuovo,good_rating,commedia,usa,4
good_rating,good_rating,top_rating,low_rating,low_rating,durataMedia,piu nuovo,nice_rating,drammatico,francia,6
good_rating,null,null,good_rating,good_rating,durataMedia,piu nuovo,good_rating,commedia,usa,4
low_rating,low_rating,low_rating,good_rating,nice_rating,durataMedia,piu nuovo,good_rating,fantasy,usa,3
good_rating,null,low_rating,low_rating,null,DurataLunga,piu nuovo,good_rating,drammatico,canada,4
null,low_rating,null,good_rating,null,durataMedia,vecchio,good_rating,drammatico,usa,5
null,top_rating,top_rating,nice_rating,null,DurataLunga,piu nuovo,nice_rating,guerra,usa,7
good_rating,low_rating,low_rating,good_rating,low_rating,durataMedia,piu nuovo,low_rating,horror,italia,4
null,good_rating,null,good_rating,null,durataMedia,nuovo,nice_rating,thriller,usa,5
low_rating,null,low_rating,good_rating,good_rating,durataMedia,vecchio,nice_rating,commedia,usa,0
null,nice_rating,null,good_rating,null,durataMedia,piu nuovo,good_rating,thriller,canada,2
null,good_rating,nice_rating,good_rating,null,durataMedia,nuovo,good_rating,guerra,usa,8
null,nice_rating,good_rating,nice_rating,null,durataMedia,nuovo,nice_rating,drammatico,gran_bretagna,7
null,good_rating,low_rating,good_rating,low_rating,durataMedia,nuovo,good_rating,avventura,spagna,2
null,top_rating,top_rating,nice_rating,null,durataMedia,piu nuovo,good_rating,drammatico,italia,7
low_rating,null,low_rating,nice_rating,good_rating,durataMedia,piu nuovo,good_rating,commedia,italia,0
low_rating,null,null,good_rating,low_rating,durataMedia,piu nuovo,low_rating,commedia,italia,4
null,nice_rating,top_rating,top_rating,nice_rating,durataMedia,piu nuovo,nice_rating,drammatico,usa,3
null,good_rating,null,good_rating,null,durataMedia,vecchio,good_rating,avventura,gran_bretagna,2
null,low_rating,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,0
null,nice_rating,good_rating,good_rating,null,cortometraggio,vecchio,good_rating,drammatico,polonia,7
null,nice_rating,nice_rating,good_rating,null,cortometraggio,nuovo,nice_rating,drammatico,urss,7
null,low_rating,nice_rating,good_rating,null,durataMedia,vecchio,nice_rating,drammatico,urss,8
null,low_rating,good_rating,good_rating,low_rating,durataMedia,vecchio,good_rating,drammatico,urss,8
null,good_rating,nice_rating,good_rating,null,cortometraggio,vecchio,nice_rating,drammatico,urss,7
null,null,good_rating,good_rating,null,cortometraggio,vecchio,nice_rating,drammatico,urss,8
null,low_rating,low_rating,good_rating,good_rating,durataMedia,piu nuovo,good_rating,commedia,usa,0
null,nice_rating,low_rating,good_rating,null,durataMedia,vecchio,good_rating,drammatico,usa,2
null,null,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,0
null,null,low_rating,good_rating,null,durataMedia,piu nuovo,good_rating,commedia,usa,5
low_rating,nice_rating,good_rating,good_rating,null,DurataLunga,nuovo,nice_rating,drammatico,italia,2
null,low_rating,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,0
low_rating,nice_rating,null,nice_rating,low_rating,durataMedia,nuovo,good_rating,horror,usa,1
null,low_rating,null,low_rating,null,durataMedia,nuovo,low_rating,avventura,spagna,2
low_rating,good_rating,top_rating,good_rating,low_rating,durataMedia,piu nuovo,nice_rating,drammatico,gran_bretagna,8
null,null,null,good_rating,low_rating,durataMedia,piu nuovo,low_rating,commedia,italia,5
null,nice_rating,null,nice_rating,null,durataMedia,piu nuovo,good_rating,thriller,usa,1
null,low_rating,null,low_rating,null,durataMedia,nuovo,low_rating,biografico,italia,2
null,good_rating,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,usa,1
null,good_rating,null,good_rating,null,durataMedia,nuovo,low_rating,thriller,francia,5
null,null,good_rating,good_rating,null,durataMedia,piu nuovo,good_rating,commedia,usa,8
null,good_rating,good_rating,good_rating,null,durataMedia,nuovo,nice_rating,drammatico,usa,8
nice_rating,nice_rating,good_rating,nice_rating,good_rating,durataMedia,nuovo,good_rating,drammatico,gran_bretagna,6
null,good_rating,good_rating,good_rating,null,durataMedia,nuovo,nice_rating,drammatico,belgio,7
null,low_rating,null,good_rating,null,durataMedia,piu nuovo,good_rating,avventura,canada,2
null,nice_rating,nice_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,italia,7
null,null,low_rating,low_rating,nice_rating,durataMedia,nuovo,good_rating,commedia,usa,0
null,good_rating,null,good_rating,null,durataMedia,nuovo,nice_rating,drammatico,giappone,2
null,low_rating,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,usa,0
null,low_rating,null,good_rating,null,durataMedia,piu nuovo,good_rating,biblico,italia,2
null,good_rating,nice_rating,good_rating,good_rating,durataMedia,vecchio,good_rating,drammatico,italia,3
null,nice_rating,good_rating,nice_rating,null,durataMedia,vecchio,good_rating,thriller,gran_bretagna,7
null,good_rating,good_rating,good_rating,null,durataMedia,piu vecchio,good_rating,avventura,usa,7
good_rating,top_rating,top_rating,nice_rating,good_rating,durataMedia,vecchio,good_rating,drammatico,usa,6
low_rating,good_rating,good_rating,good_rating,low_rating,durataMedia,nuovo,nice_rating,drammatico,italia,8
nice_rating,top_rating,nice_rating,top_rating,good_rating,durataMedia,vecchio,nice_rating,drammatico,usa,6
low_rating,low_rating,low_rating,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,italia,0
null,good_rating,good_rating,good_rating,null,durataMedia,piu nuovo,good_rating,drammatico,usa,7
null,nice_rating,good_rating,good_rating,null,durataMedia,piu nuovo,nice_rating,drammatico,usa,7
low_rating,good_rating,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,1
null,good_rating,low_rating,good_rating,null,durataMedia,nuovo,good_rating,thriller,usa,5
null,low_rating,low_rating,nice_rating,nice_rating,durataMedia,piu nuovo,nice_rating,commedia,gran_bretagna,3
low_rating,good_rating,nice_rating,good_rating,good_rating,durataMedia,piu nuovo,nice_rating,drammatico,danimarca,3
null,low_rating,null,good_rating,low_rating,durataMedia,piu nuovo,low_rating,spionaggio,usa,0
null,low_rating,nice_rating,good_rating,null,durataMedia,piu nuovo,good_rating,drammatico,iran,8
null,low_rating,null,good_rating,low_rating,durataMedia,piu nuovo,low_rating,fantasy,usa,5
low_rating,low_rating,null,nice_rating,low_rating,DurataLunga,piu nuovo,good_rating,avventura,usa,4
null,null,low_rating,good_rating,good_rating,durataMedia,piu nuovo,good_rating,commedia,italia,0
low_rating,low_rating,low_rating,good_rating,low_rating,durataMedia,piu nuovo,low_rating,western,italia,0
null,good_rating,low_rating,good_rating,null,durataMedia,piu nuovo,good_rating,drammatico,usa,2
null,null,low_rating,good_rating,low_rating,durataMedia,piu nuovo,good_rating,commedia,italia,5
low_rating,null,null,low_rating,low_rating,DurataLunga,piu nuovo,good_rating,drammatico,francia,4
low_rating,null,low_rating,good_rating,good_rating,durataMedia,piu nuovo,good_rating,commedia,usa,0
null,nice_rating,nice_rating,top_rating,low_rating,durataMedia,vecchio,nice_rating,drammatico,usa,7
null,good_rating,nice_rating,good_rating,null,DurataLunga,nuovo,nice_rating,drammatico,gran_bretagna,8
null,top_rating,good_rating,top_rating,null,durataMedia,nuovo,nice_rating,thriller,gran_bretagna,7
good_rating,low_rating,nice_rating,nice_rating,null,durataMedia,nuovo,good_rating,drammatico,usa,8
null,good_rating,low_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,usa,2
null,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,poliziesco,usa,2
null,low_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,usa,5
null,good_rating,null,good_rating,null,durataMedia,piu nuovo,good_rating,thriller,usa,5
null,good_rating,low_rating,low_rating,null,durataMedia,piu nuovo,good_rating,drammatico,usa,2
null,good_rating,low_rating,good_rating,null,durataMedia,vecchio,good_rating,drammatico,usa,2
null,nice_rating,good_rating,nice_rating,null,durataMedia,piu vecchio,nice_rating,drammatico,usa,7
null,null,null,nice_rating,nice_rating,durataMedia,vecchio,good_rating,commedia,italia,0
null,null,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,italia,0
good_rating,nice_rating,low_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,italia,4
good_rating,good_rating,null,good_rating,null,durataMedia,nuovo,low_rating,drammatico,italia,4
null,nice_rating,nice_rating,good_rating,null,DurataLunga,vecchio,nice_rating,thriller,francia,8
null,good_rating,nice_rating,good_rating,low_rating,durataMedia,nuovo,good_rating,drammatico,usa,8
low_rating,nice_rating,nice_rating,good_rating,null,durataMedia,piu nuovo,good_rating,drammatico,italia,7
low_rating,low_rating,null,good_rating,good_rating,durataMedia,piu nuovo,good_rating,commedia,italia,0
null,low_rating,low_rating,nice_rating,good_rating,durataMedia,piu nuovo,good_rating,commedia,usa,0
low_rating,nice_rating,good_rating,nice_rating,null,durataMedia,nuovo,good_rating,avventura,italia,7
null,nice_rating,null,good_rating,null,durataMedia,vecchio,good_rating,poliziesco,austria,2
null,good_rating,nice_rating,good_rating,low_rating,durataMedia,piu nuovo,nice_rating,drammatico,brasile,7
null,null,null,good_rating,low_rating,durataMedia,piu nuovo,low_rating,commedia,italia,5
null,low_rating,nice_rating,low_rating,null,durataMedia,piu nuovo,nice_rating,drammatico,iran,8
null,good_rating,null,nice_rating,low_rating,DurataLunga,piu nuovo,good_rating,thriller,usa,1
null,nice_rating,low_rating,top_rating,low_rating,DurataLunga,piu nuovo,good_rating,thriller,usa,1
null,null,null,nice_rating,good_rating,durataMedia,piu nuovo,nice_rating,commedia,gran_bretagna,0
low_rating,null,good_rating,nice_rating,nice_rating,durataMedia,piu nuovo,good_rating,commedia,usa,3
null,good_rating,low_rating,good_rating,null,durataMedia,piu nuovo,nice_rating,drammatico,usa,2
null,nice_rating,nice_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,italia,7
null,null,null,good_rating,low_rating,durataMedia,vecchio,good_rating,commedia,italia,5
null,null,good_rating,nice_rating,nice_rating,durataMedia,nuovo,good_rating,commedia,gran_bretagna,3
null,null,null,good_rating,low_rating,durataMedia,vecchio,good_rating,commedia,italia,5
null,null,null,nice_rating,nice_rating,durataMedia,vecchio,nice_rating,musicale,usa,0
null,nice_rating,good_rating,nice_rating,null,durataMedia,nuovo,good_rating,drammatico,usa,7
null,nice_rating,nice_rating,nice_rating,null,durataMedia,nuovo,good_rating,gangster,italia,7
null,good_rating,nice_rating,good_rating,null,durataMedia,vecchio,nice_rating,drammatico,india,7
null,nice_rating,null,low_rating,null,durataMedia,piu nuovo,good_rating,thriller,usa,2
null,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,azione,usa,2
low_rating,good_rating,null,good_rating,null,durataMedia,nuovo,low_rating,azione,usa,2
null,low_rating,null,good_rating,low_rating,durataMedia,piu nuovo,good_rating,fantasy,usa,5
good_rating,nice_rating,good_rating,nice_rating,low_rating,durataMedia,piu nuovo,good_rating,thriller,usa,6
good_rating,good_rating,low_rating,nice_rating,low_rating,DurataLunga,piu nuovo,nice_rating,drammatico,usa,4
good_rating,good_rating,top_rating,nice_rating,good_rating,durataMedia,piu nuovo,good_rating,drammatico,danimarca,6
null,low_rating,null,good_rating,null,durataMedia,vecchio,good_rating,drammatico,italia,5
