class_of_erotismo,class_of_tensione,class_of_impegno,class_of_ritmo,class_of_humor,class_of_time,class_of_year,class_of_voto,genere,paese,cluster
null,good_rating,null,good_rating,low_rating,durataMedia,vecchio,low_rating,spionaggio,italia,1
null,good_rating,null,good_rating,low_rating,cortometraggio,nuovo,good_rating,spionaggio,gran_bretagna,1
null,null,null,nice_rating,nice_rating,cortometraggio,piu vecchio,good_rating,commedia,usa,0
null,good_rating,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,1
null,good_rating,null,good_rating,null,durataMedia,vecchio,good_rating,thriller,italia,5
null,good_rating,low_rating,good_rating,null,durataMedia,vecchio,good_rating,spionaggio,usa,5
low_rating,low_rating,null,nice_rating,low_rating,durataMedia,nuovo,low_rating,poliziesco,usa,0
null,low_rating,null,good_rating,null,durataMedia,vecchio,good_rating,western,germania,5
null,good_rating,null,good_rating,null,durataMedia,vecchio,good_rating,avventura,italia,2
low_rating,nice_rating,nice_rating,low_rating,null,durataMedia,nuovo,good_rating,drammatico,usa,7
null,good_rating,low_rating,low_rating,null,durataMedia,vecchio,good_rating,drammatico,italia,2
null,good_rating,low_rating,good_rating,null,durataMedia,vecchio,good_rating,musicale,italia,2
null,good_rating,null,nice_rating,null,durataMedia,nuovo,good_rating,avventura,usa,2
null,low_rating,null,good_rating,null,durataMedia,nuovo,good_rating,catastrofico,usa,2
null,low_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,usa,5
low_rating,low_rating,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,italia,0
null,null,low_rating,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,italia,0
good_rating,good_rating,low_rating,good_rating,null,durataMedia,nuovo,good_rating,thriller,italia,4
null,nice_rating,nice_rating,good_rating,null,durataMedia,vecchio,good_rating,gangster,usa,7
null,null,null,nice_rating,low_rating,durataMedia,vecchio,nice_rating,western,usa,0
good_rating,nice_rating,low_rating,nice_rating,low_rating,durataMedia,vecchio,good_rating,horror,germania,6
null,low_rating,low_rating,good_rating,low_rating,durataMedia,nuovo,good_rating,western,italia,0
null,good_rating,null,good_rating,null,durataMedia,vecchio,nice_rating,drammatico,usa,2
low_rating,nice_rating,null,good_rating,null,durataMedia,nuovo,nice_rating,drammatico,usa,2
null,good_rating,low_rating,good_rating,low_rating,durataMedia,vecchio,good_rating,spionaggio,usa,5
null,null,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,italia,0
null,low_rating,low_rating,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,usa,0
low_rating,nice_rating,null,low_rating,null,durataMedia,nuovo,nice_rating,drammatico,italia,2
low_rating,nice_rating,good_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,usa,7
null,low_rating,null,nice_rating,null,durataMedia,nuovo,good_rating,fantasy,usa,5
null,nice_rating,nice_rating,nice_rating,null,durataMedia,piu vecchio,nice_rating,drammatico,francia,7
null,top_rating,low_rating,nice_rating,null,durataMedia,piu vecchio,good_rating,thriller,italia,1
null,good_rating,low_rating,good_rating,low_rating,durataMedia,vecchio,nice_rating,western,usa,0
good_rating,good_rating,good_rating,good_rating,null,DurataLunga,vecchio,good_rating,drammatico,usa,4
null,low_rating,null,good_rating,good_rating,durataMedia,piu vecchio,good_rating,commedia,italia,0
null,low_rating,low_rating,good_rating,null,durataMedia,piu vecchio,good_rating,drammatico,italia,5
null,low_rating,top_rating,low_rating,null,DurataLunga,nuovo,nice_rating,drammatico,grecia,8
null,good_rating,good_rating,good_rating,low_rating,durataMedia,vecchio,nice_rating,drammatico,gran_bretagna,8
low_rating,low_rating,good_rating,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,italia,0
low_rating,nice_rating,good_rating,nice_rating,null,durataMedia,nuovo,nice_rating,biografico,gran_bretagna,7
null,nice_rating,null,good_rating,null,durataMedia,piu vecchio,nice_rating,spionaggio,gran_bretagna,2
low_rating,null,null,low_rating,null,durataMedia,nuovo,good_rating,horror,usa,4
null,nice_rating,good_rating,nice_rating,null,durataMedia,vecchio,nice_rating,thriller,gran_bretagna,7
null,good_rating,null,good_rating,null,durataMedia,vecchio,good_rating,thriller,germania,5
good_rating,good_rating,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,4
good_rating,top_rating,nice_rating,top_rating,nice_rating,durataMedia,vecchio,nice_rating,poliziesco,usa,6
null,low_rating,low_rating,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,0
low_rating,nice_rating,nice_rating,nice_rating,good_rating,durataMedia,nuovo,nice_rating,drammatico,usa,3
null,top_rating,good_rating,nice_rating,null,durataMedia,nuovo,nice_rating,fantasy,gran_bretagna,7
null,low_rating,null,good_rating,null,durataMedia,nuovo,low_rating,fantasy,italia,5
null,low_rating,null,low_rating,null,durataMedia,nuovo,low_rating,fantasy,usa,5
low_rating,good_rating,null,good_rating,low_rating,durataMedia,nuovo,nice_rating,fantasy,usa,4
null,top_rating,low_rating,top_rating,low_rating,DurataLunga,nuovo,nice_rating,fantasy,usa,1
null,low_rating,nice_rating,nice_rating,good_rating,durataMedia,nuovo,nice_rating,commedia,usa,3
low_rating,good_rating,low_rating,nice_rating,nice_rating,durataMedia,nuovo,nice_rating,avventura,usa,3
null,good_rating,null,nice_rating,low_rating,durataMedia,vecchio,nice_rating,western,usa,1
nice_rating,nice_rating,low_rating,nice_rating,low_rating,durataMedia,nuovo,good_rating,drammatico,usa,6
null,low_rating,null,low_rating,null,durataMedia,nuovo,good_rating,western,italia,5
null,null,null,good_rating,nice_rating,cortometraggio,piu vecchio,nice_rating,commedia,usa,0
good_rating,nice_rating,good_rating,nice_rating,null,durataMedia,nuovo,nice_rating,thriller,usa,6
null,nice_rating,good_rating,good_rating,null,durataMedia,nuovo,good_rating,poliziesco,usa,7
null,low_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,avventura,usa,5
low_rating,low_rating,null,good_rating,low_rating,durataMedia,vecchio,good_rating,thriller,usa,0
null,null,null,good_rating,good_rating,durataMedia,vecchio,good_rating,musicale,usa,0
null,low_rating,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,0
null,null,null,nice_rating,nice_rating,durataMedia,piu vecchio,nice_rating,commedia,usa,0
null,null,null,nice_rating,nice_rating,cortometraggio,vecchio,good_rating,commedia,usa,0
null,null,null,nice_rating,nice_rating,durataMedia,vecchio,good_rating,commedia,italia,0
null,null,good_rating,nice_rating,good_rating,durataMedia,nuovo,nice_rating,animazione,italia,3
null,null,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,italia,0
null,nice_rating,top_rating,good_rating,low_rating,cortometraggio,nuovo,nice_rating,drammatico,francia,7
low_rating,null,null,good_rating,nice_rating,durataMedia,nuovo,good_rating,commedia,italia,0
good_rating,good_rating,nice_rating,nice_rating,good_rating,durataMedia,nuovo,nice_rating,drammatico,cecoslovacchia,6
