filmtv_id,titolo_originale,anno,genere,durata,paese,registi,attori,voto_medio,humor,ritmo,impegno,tensione,erotismo
51129,merantau,2009,azione,100,indonesia,gareth_evans,iko_uwais,6.9,1,4,0,2,0
51133,the_tall_man,2012,horror,106,usa,pascal_laugier,jessica_biel,6.3,1,3,2,3,1
51135,starlet,2012,drammatico,103,usa,sean_baker,dree_hemingway,7.4,1,2,2,0,1
51151,the_dodecapentathlon,2012,commedia,90,usa,jay_duplass,mark_kelly,6.3,2,2,0,0,0
51157,passi_nel_giallo_vite_in_ostaggio,2012,thriller,100,italia,lamberto_bava,kevin_sorbo,5.6,0,1,2,2,0
51159,kobe_doin_work,2009,documentario,84,usa,spike_lee,lamar_odom,5.3,2,2,1,0,0
51167,secretos,2008,commedia,85,cile,valeria_sarmiento,claudia_di_girolamo,5.8,2,2,4,2,0
51174,love_n_dancing,2009,drammatico,93,usa,robert_iscove,amy_smart,4.5,0,2,0,1,0
51176,rites_of_passage,2011,thriller,103,usa,w_peter_iliff,wes_bentley,3.4,0,2,0,2,1
51178,tanner_hall,2009,drammatico,96,usa,francesca_gregorini,rooney_mara,5.2,0,2,0,1,0
51179,small_apartments,2012,commedia,97,usa,jonas_akerlund,matt_lucas,6.3,3,2,2,2,1
51182,razzabastarda,2012,drammatico,95,italia,alessandro_gassmann,alessandro_gassmann,5.8,0,3,2,2,1
51183,lamore_e_imperfetto,2012,drammatico,92,italia,francesca_muci,anna_foglietta,5.0,0,2,2,2,2
51184,tulpa__perdizioni_mortali,2012,thriller,90,italia,federico_zampaglione,claudia_gerini,4.0,1,2,1,3,3
51186,chernobyl_diaries,2012,horror,86,usa,brad_parker,jonathan_sadowski,4.4,1,2,1,2,1
51205,paris_manhattan,2012,commedia,77,francia,sophie_lellouche,alice_taglioni,5.0,1,2,1,0,0
51209,kill_your_darlings,2013,thriller,95,usa,john_krokidas,daniel_radcliffe,4.5,1,2,1,0,0
51211,lassaut,2010,azione,91,francia,julien_leclercq,vincent_elbaz,6.4,0,3,2,2,0
51226,hypnotisoren,2012,thriller,120,svezia,lasse_hallstrom,mikael_persbrandt,4.7,0,2,2,2,0
51230,dans_la_maison,2012,thriller,105,francia,francois_ozon,fabrice_luchini,7.3,2,2,3,2,2
51233,la_mafia_uccide_solo_destate,2013,commedia,90,italia,pierfrancesco_diliberto,pierfrancesco_diliberto,6.9,3,3,3,1,0
51234,hannah_arendt,2012,biografico,113,germania,margarethe_von_trotta,barbara_sukowa,6.6,1,2,4,2,0
51243,die_wilden_huhner_und_das_leben,2009,commedia,108,germania,vivian_naefe,michelle_von_treuberg,3.0,1,2,0,0,0
51244,fastest,2011,documentario,110,usa,mark_neale,valentino_rossi,5.6,0,3,0,2,0
51246,il_nostro_rwanda,2006,documentario,50,italia,carlotta_cerquetti,luca_bergamo,5.3,0,1,2,0,0
51251,the_host,2013,fantasy,125,usa,andrew_niccol,saoirse_ronan,5.4,1,2,2,2,0
51253,under_the_skin,2013,fantasy,104,gran_bretagna,jonathan_glazer,scarlett_johansson,6.3,0,1,1,1,2
51254,song_for_marion,2012,commedia,93,gran_bretagna,paul_andrew_williams,terence_stamp,6.1,3,4,3,0,0
51259,midnights_children,2012,drammatico,148,canada,deepa_mehta,freida_pinto,4.9,1,2,3,1,0
